"Name","td__rating","td__spec","td__spec 2","td__spec 3","td__spec 4","td__spec 5","td__spec 6","td__price"
"AMD Ryzen 7 7800X3D","(89)","8","4.2 GHz","5 GHz","120 W","Radeon","Yes","$358.99"
"AMD Ryzen 5 5600X","(593)","6","3.7 GHz","4.6 GHz","65 W","None","Yes","$139.00"
"Intel Core i7-13700K","(100)","16","3.4 GHz","5.4 GHz","125 W","Intel UHD Graphics 770","Yes","$345.00"
"AMD Ryzen 5 7600X","(74)","6","4.7 GHz","5.3 GHz","105 W","Radeon","Yes","$209.00"
"AMD Ryzen 7 5800X","(318)","8","3.8 GHz","4.7 GHz","105 W","None","Yes","$174.00"
"AMD Ryzen 5 7600","(34)","6","3.8 GHz","5.1 GHz","65 W","Radeon","Yes","$199.00"
"AMD Ryzen 5 5600","(110)","6","3.5 GHz","4.4 GHz","65 W","None","Yes","$127.53"
"Intel Core i5-12400F","(65)","6","2.5 GHz","4.4 GHz","65 W","None","Yes","$146.74"
"AMD Ryzen 5 3600","(1139)","6","3.6 GHz","4.2 GHz","65 W","None","Yes","$104.94"
"AMD Ryzen 7 7700X","(76)","8","4.5 GHz","5.4 GHz","105 W","Radeon","Yes","$297.00"
"Intel Core i9-14900K","(2)","24","3.2 GHz","6 GHz","125 W","Intel UHD Graphics 770","Yes","$578.74"
"Intel Core i9-13900K","(59)","24","3 GHz","5.8 GHz","125 W","Intel UHD Graphics 770","Yes","$546.99"
"Intel Core i5-13600K","(72)","14","3.5 GHz","5.1 GHz","125 W","Intel UHD Graphics 770","Yes","$270.00"
"AMD Ryzen 7 5700X","(71)","8","3.4 GHz","4.6 GHz","65 W","None","Yes","$169.00"
"AMD Ryzen 9 7950X3D","(19)","16","4.2 GHz","5.7 GHz","120 W","Radeon","Yes","$587.99"
"Intel Core i7-12700K","(114)","12","3.6 GHz","5 GHz","125 W","Intel UHD Graphics 770","Yes","$211.00"
"Intel Core i5-12600K","(126)","10","3.7 GHz","4.9 GHz","125 W","Intel UHD Graphics 770","Yes","$153.00"
"AMD Ryzen 7 5800X3D","(82)","8","3.4 GHz","4.5 GHz","105 W","None","Yes","$290.00"
"AMD Ryzen 5 5600G","(113)","6","3.9 GHz","4.4 GHz","65 W","Radeon Vega 7","Yes","$137.97"
"Intel Core i7-14700K","(1)","20","3.4 GHz","5.6 GHz","125 W","Intel UHD Graphics 770","Yes","$401.62"
"AMD Ryzen 9 7900X","(49)","12","4.7 GHz","5.6 GHz","170 W","Radeon","Yes","$388.99"
"AMD Ryzen 5 5500","(28)","6","3.6 GHz","4.2 GHz","65 W","None","Yes","$119.49"
"Intel Core i5-13400F","(8)","10","2.5 GHz","4.6 GHz","65 W","None","Yes","$200.97"
"Intel Core i3-12100F","(32)","4","3.3 GHz","4.3 GHz","58 W","None","Yes","$92.99"
"Intel Core i5-13600KF","(39)","14","3.5 GHz","5.1 GHz","125 W","None","Yes","$250.00"
"AMD Ryzen 9 5900X","(214)","12","3.7 GHz","4.8 GHz","105 W","None","Yes","$288.99"
"Intel Core i5-12600KF","(30)","10","3.7 GHz","4.9 GHz","125 W","None","Yes","$140.00"
"AMD Ryzen 7 5700G","(45)","8","3.8 GHz","4.6 GHz","65 W","Radeon Vega 8","Yes","$166.00"
"Intel Core i7-12700KF","(30)","12","3.6 GHz","5 GHz","125 W","None","Yes","$199.00"
"AMD Ryzen 9 7950X","(29)","16","4.5 GHz","5.7 GHz","170 W","Radeon","Yes","$538.00"
"Intel Core i9-12900K","(47)","16","3.2 GHz","5.2 GHz","125 W","Intel UHD Graphics 770","Yes","$315.00"
"AMD Ryzen 7 3700X","(625)","8","3.6 GHz","4.4 GHz","65 W","None","Yes","$219.00"
"AMD Ryzen 7 7700","(11)","8","3.6 GHz","5.3 GHz","65 W","Radeon","Yes","$305.97"
"AMD Threadripper 3990X","(1)","64","2.9 GHz","4.3 GHz","280 W","None","Yes","$4355.00"
"Intel Core i7-14700KF","(1)","20","3.4 GHz","5.6 GHz","125 W","None","Yes","$392.96"
"Intel Core i7-13700KF","(16)","16","3.4 GHz","5.4 GHz","125 W","None","Yes","$336.00"
"Intel Core i9-14900KF","(0)","24","3.2 GHz","6 GHz","125 W","None","Yes","$551.37"
"Intel Core i5-13500","(12)","14","2.5 GHz","4.8 GHz","65 W","Intel UHD Graphics 770","Yes","$247.49"
"Intel Core i5-10400F","(54)","6","2.9 GHz","4.3 GHz","65 W","None","Yes","$112.96"
"AMD Ryzen 5 4500","(11)","6","3.6 GHz","4.1 GHz","65 W","None","Yes","$93.68"
"Intel Core i5-14600KF","(0)","14","3.5 GHz","5.3 GHz","125 W","None","Yes","$303.97"
"Intel Core i5-14600K","(1)","14","3.5 GHz","5.3 GHz","125 W","Intel UHD Graphics 770","Yes","$327.99"
"AMD Ryzen 5 4600G","(4)","6","3.7 GHz","4.2 GHz","65 W","Radeon Vega 7","Yes","$98.95"
"AMD Ryzen 9 5950X","(99)","16","3.4 GHz","4.9 GHz","105 W","None","Yes","$434.00"
"Intel Core i3-13100F","(3)","4","3.4 GHz","4.5 GHz","58 W","None","Yes","$118.99"
"AMD Ryzen 9 7900X3D","(8)","12","4.4 GHz","5.6 GHz","120 W","Radeon","Yes","$433.00"
"Intel Core i9-13900KS","(11)","24","3 GHz","6 GHz","150 W","Intel UHD Graphics 770","Yes","$664.99"
"Intel Core i5-12400","(26)","6","2.5 GHz","4.4 GHz","65 W","Intel UHD Graphics 730","Yes","$161.97"
"AMD Ryzen 3 4100","(1)","4","3.8 GHz","4 GHz","65 W","None","Yes","$67.50"
"Intel Core i9-13900KF","(8)","24","3 GHz","5.8 GHz","125 W","None","Yes","$501.99"
"Intel Core i7-9700K","(225)","8","3.6 GHz","4.9 GHz","95 W","Intel UHD Graphics 630","No","$275.13"
"AMD Ryzen 5 2600","(496)","6","3.4 GHz","3.9 GHz","65 W","None","Yes","$165.00"
"Intel Core i3-10100F","(22)","4","3.6 GHz","4.3 GHz","65 W","None","Yes","$82.68"
"Intel Core i5-13400","(2)","10","2.5 GHz","4.6 GHz","65 W","Intel UHD Graphics 730","Yes","$230.94"
"Intel Core i7-13700F","(2)","16","2.1 GHz","5.2 GHz","65 W","None","Yes","$359.99"
"Intel Core i7-8700K","(303)","6","3.7 GHz","4.7 GHz","95 W","Intel UHD Graphics 630","Yes","$205.00"
"AMD Ryzen 9 3900X","(274)","12","3.8 GHz","4.6 GHz","105 W","None","Yes","$365.00"
"Intel Core i5-11400F","(23)","6","2.6 GHz","4.4 GHz","65 W","None","Yes","$130.69"
"AMD Ryzen 3 3200G","(64)","4","3.6 GHz","4 GHz","65 W","Radeon Vega 8","No","$93.99"
"AMD Ryzen 5 3600X","(202)","6","3.8 GHz","4.4 GHz","95 W","None","Yes","$210.00"
"AMD Ryzen 5 7500F","(1)","6","3.7 GHz","5 GHz","65 W","None","Yes",""
"AMD Ryzen 7 2700X","(357)","8","3.7 GHz","4.3 GHz","105 W","None","Yes","$209.38"
"AMD Ryzen 9 7900","(9)","12","3.6 GHz","5.4 GHz","65 W","Radeon","Yes","$410.99"
