"Name","td__rating","td__spec","td__spec 2","td__spec 3","td__spec 4","td__spec 5","td__spec 6","td__price"
"Corsair Vengeance LPX 16 GB","(468)","DDR4-3200","2 x 8GB","$2.624","Black / Yellow","10 ns","16","$41.99"
"Corsair Vengeance 32 GB","(51)","DDR5-5600","2 x 16GB","$3.281","Black","12.857 ns","36","$104.99"
"Corsair Vengeance RGB Pro 32 GB","(82)","DDR4-3600","2 x 16GB","$2.499","Black","10 ns","18","$79.98"
"G.Skill Trident Z5 RGB 32 GB","(30)","DDR5-6000","2 x 16GB","$3.437","Black","12 ns","36","$109.99"
"Corsair Vengeance LPX 32 GB","(79)","DDR4-3600","2 x 16GB","$2.343","Black / Yellow","10 ns","18","$74.98"
"G.Skill Trident Z5 RGB 64 GB","(9)","DDR5-6400","2 x 32GB","$3.281","Black / Silver","10 ns","32","$209.99"
"Corsair Vengeance RGB 32 GB","(18)","DDR5-6000","2 x 16GB","$3.843","White","12 ns","36","$122.99"
"Corsair Vengeance RGB Pro 16 GB","(368)","DDR4-3200","2 x 8GB","$3.374","Black","10 ns","16","$53.99"
"Corsair Vengeance RGB 32 GB","(11)","DDR5-6000","2 x 16GB","$3.750","Black","13.333 ns","40","$119.99"
"G.Skill Flare X5 32 GB","(42)","DDR5-6000","2 x 16GB","$3.000","Black","12 ns","36","$95.99"
"G.Skill Ripjaws S5 32 GB","(15)","DDR5-6000","2 x 16GB","$3.281","Black","10 ns","30","$104.99"
"G.Skill Ripjaws V 32 GB","(112)","DDR4-3200","2 x 16GB","$1.875","Black","10 ns","16","$59.99"
"Corsair Vengeance LPX 16 GB","(116)","DDR4-3600","2 x 8GB","$2.499","Black","10 ns","18","$39.99"
"TEAMGROUP T-Force Delta RGB 32 GB","(7)","DDR5-6000","2 x 16GB","$2.906","White","10 ns","30","$92.99"
"TEAMGROUP T-Force Delta RGB 32 GB","(7)","DDR5-6000","2 x 16GB","Black","10 ns","30","",""
"Silicon Power GAMING 16 GB","(35)","DDR4-3200","2 x 8GB","$2.061","Black / Gray","10 ns","16","$32.97"
"Corsair Vengeance RGB Pro SL 32 GB","(35)","DDR4-3600","2 x 16GB","$2.656","White / Black","10 ns","18","$84.99"
"G.Skill Trident Z5 Neo RGB 32 GB","(24)","DDR5-6000","2 x 16GB","$3.687","Black","10 ns","30","$117.99"
"Corsair Dominator Platinum 32 GB","(4)","DDR4-2666","4 x 8GB","$52.327","Black / Silver","11.253 ns","15","$1674.47"
"G.Skill Flare X5 32 GB","(11)","DDR5-6000","2 x 16GB","$3.125","Black","10 ns","30","$99.99"
"Corsair Vengeance 64 GB","(3)","DDR5-5200","2 x 32GB","$2.344","Black","15.385 ns","40","$149.99"
"Crucial Pro 32 GB","(1)","DDR5-5600","2 x 16GB","$2.125","Black","16.429 ns","46","$67.99"
"Corsair Vengeance LPX 32 GB","(39)","DDR4-3200","2 x 16GB","$2.124","Black / Yellow","10 ns","16","$67.98"
"G.Skill Ripjaws S5 32 GB","(9)","DDR5-6000","2 x 16GB","$2.937","Black","12 ns","36","$93.99"
"TEAMGROUP T-Force Vulcan Z 16 GB","(87)","DDR4-3200","2 x 8GB","$2.124","Black","10 ns","16","$33.99"
"Corsair Vengeance 16 GB","(0)","DDR5-5200","2 x 8GB","$4.374","Black","15.385 ns","40","$69.98"
"Kingston FURY Beast 16 GB","(5)","DDR4-3200","2 x 8GB","$2.984","Black","10 ns","16","$47.75"
"G.Skill Trident Z5 Neo 64 GB","(10)","DDR5-6000","2 x 32GB","$3.203","Black / Silver","10 ns","30","$204.99"
"G.Skill Ripjaws V 16 GB","(190)","DDR4-3600","2 x 8GB","$3.124","Black","8.889 ns","16","$49.99"
"Corsair Vengeance 32 GB","(11)","DDR5-6000","2 x 16GB","$3.343","Black","12 ns","36","$106.99"
"G.Skill Trident Z5 RGB 32 GB","(27)","DDR5-6400","2 x 16GB","$3.437","Black","10 ns","32","$109.99"
"Silicon Power GAMING 32 GB","(12)","DDR4-3200","2 x 16GB","$1.593","Black","10 ns","16","$50.97"
"Corsair Vengeance RGB Pro 16 GB","(170)","DDR4-3200","2 x 8GB","$3.249","White","10 ns","16","$51.99"
"Corsair Vengeance RGB 32 GB","(3)","DDR5-6000","2 x 16GB","$3.218","Black","12 ns","36","$102.99"
"G.Skill Trident Z RGB 32 GB","(27)","DDR4-3200","2 x 16GB","$2.998","Black","10 ns","16","$95.93"
"G.Skill Trident Z5 RGB 32 GB","(4)","DDR5-7200","2 x 16GB","$4.000","Black","9.444 ns","34","$127.99"
"Corsair Vengeance 32 GB","(4)","DDR5-6000","2 x 16GB","$3.531","Black / Gray","10 ns","30","$112.99"
"TEAMGROUP T-Force Delta RGB 16 GB","(17)","DDR4-3600","2 x 8GB","$2.749","Black","10 ns","18","$43.99"
"Corsair Vengeance LPX 64 GB","(15)","DDR4-3200","2 x 32GB","$1.875","Black / Yellow","10 ns","16","$119.99"
"Crucial Pro 32 GB","(1)","DDR4-3200","2 x 16GB","$1.437","Black","13.75 ns","22","$45.99"
"Corsair Vengeance RGB 64 GB","(3)","DDR5-6000","2 x 32GB","$3.281","Black","13.333 ns","40","$209.99"
"Kingston FURY Beast 32 GB","(5)","DDR5-6000","2 x 16GB","$4.062","Black","12 ns","36","$129.99"
"Kingston FURY Beast 32 GB","(7)","DDR4-3200","2 x 16GB","$1.968","Black","10 ns","16","$62.99"
"Corsair Vengeance 32 GB","(7)","DDR5-5200","2 x 16GB","$2.812","Black","15.385 ns","40","$89.99"
"G.Skill Ripjaws V 32 GB","(103)","DDR4-3600","2 x 16GB","$2.499","Black","8.889 ns","16","$79.98"
"Corsair Dominator Platinum RGB 32 GB","(7)","DDR5-6200","2 x 16GB","$5.156","White","11.613 ns","36","$164.99"
"G.Skill Ripjaws V 16 GB","(224)","DDR4-3200","2 x 8GB","$2.499","Black","10 ns","16","$39.98"
"Corsair Vengeance RGB 32 GB","(16)","DDR5-6000","2 x 16GB","$3.906","Gray","10 ns","30","$124.99"
"ADATA XPG Lancer Blade 32 GB","(1)","DDR5-6000","2 x 16GB","$2.937","Black","10 ns","30","$93.99"
"Silicon Power XPOWER Turbine 16 GB","(27)","DDR4-3200","2 x 8GB","$1.998","Blue","10 ns","16","$31.97"
"TEAMGROUP T-Force Delta RGB 32 GB","(9)","DDR4-3600","2 x 16GB","$2.062","White","10 ns","18","$65.98"
"TEAMGROUP T-Force Vulcan Z 32 GB","(10)","DDR4-3600","2 x 16GB","$1.781","Black","10 ns","18","$56.99"
"Crucial CT2K8G48C40U5 16 GB","(2)","DDR5-4800","2 x 8GB","$2.874","Black","16.667 ns","40","$45.99"
"TEAMGROUP T-Force Vulcan 32 GB","(0)","DDR5-6000","2 x 16GB","$2.499","Black","12.667 ns","38","$79.98"
"G.Skill Trident Z RGB 16 GB","(130)","DDR4-3600","2 x 8GB","$3.624","Black","10 ns","18","$57.99"
"Silicon Power XPOWER Zenith Gaming 32 GB","(0)","DDR5-6000","2 x 16GB","$2.374","White","13.333 ns","40","$75.97"
"TEAMGROUP T-Create Expert 32 GB","(2)","DDR5-6000","2 x 16GB","$2.812","Black","10 ns","30","$89.99"
"G.Skill Trident Z5 Neo 32 GB","(11)","DDR5-6000","2 x 16GB","$3.437","Black","10 ns","30","$109.99"
"Corsair Vengeance 64 GB","(1)","DDR5-6400","2 x 32GB","$3.203","Black / Gray","10 ns","32","$204.99"
"G.Skill Ripjaws S5 32 GB","(4)","DDR5-5600","2 x 16GB","$3.125","Black","10 ns","28","$99.99"
"Corsair Vengeance RGB 128 GB","(0)","DDR5-5600","4 x 32GB","$3.476","Black","14.286 ns","40","$444.99"
"G.Skill Flare X5 64 GB","(3)","DDR5-6000","2 x 32GB","$3.047","Black","10 ns","30","$194.99"
"G.Skill Ripjaws 4 16 GB","(5)","DDR4-3000","2 x 8GB","Blue","10 ns","15","",""
"G.Skill Ripjaws S5 64 GB","(5)","DDR5-6000","2 x 32GB","$3.125","Black","10 ns","30","$199.99"
"Corsair Vengeance 32 GB","(1)","DDR5-6000","2 x 16GB","$2.968","Black","12 ns","36","$94.99"
"Kingston FURY Beast 16 GB","(5)","DDR5-5200","2 x 8GB","$4.728","Black","15.385 ns","40","$75.64"
"Corsair Vengeance RGB Pro 32 GB","(29)","DDR4-3200","2 x 16GB","$2.499","Black","10 ns","16","$79.98"
"G.Skill Trident Z5 Neo RGB 64 GB","(6)","DDR5-6000","2 x 32GB","$3.203","Black / Silver","10 ns","30","$204.99"
"TEAMGROUP T-Force Delta RGB 32 GB","(3)","DDR5-6000","2 x 16GB","$2.812","White","12.667 ns","38","$89.99"
"Kingston FURY Beast RGB 32 GB","(6)","DDR5-6000","2 x 16GB","$4.352","Black","12 ns","36","$139.26"
"TEAMGROUP T-Force Delta RGB 32 GB","(10)","DDR4-3600","2 x 16GB","$2.062","Black","10 ns","18","$65.98"
"TEAMGROUP T-Force Delta RGB 16 GB","(14)","DDR4-3600","2 x 8GB","$2.749","White","10 ns","18","$43.99"
"TEAMGROUP T-Force Vulcan Z 32 GB","(11)","DDR4-3200","2 x 16GB","$1.687","Gray","10 ns","16","$53.99"
"G.Skill Trident Z Royal 256 GB","(0)","DDR4-3600","8 x 32GB","$5.855","Gold","10 ns","18","$1499.00"
"Corsair Vengeance LPX 8 GB","(48)","DDR4-2400","1 x 8GB","$3.124","Black / Yellow","13.333 ns","16","$24.99"
"Corsair Dominator Platinum RGB 64 GB","(0)","DDR5-6800","2 x 32GB","$5.078","Black","11.765 ns","40","$324.99"
"G.Skill Flare X5 32 GB","(12)","DDR5-6000","2 x 16GB","$3.125","Black","10.667 ns","32","$99.99"
"G.Skill Trident Z 32 GB","(0)","DDR5-6000","2 x 16GB","$23.592","White / Black","13.333 ns","40","$754.94"
"Corsair Vengeance 32 GB","(1)","DDR5-6400","2 x 16GB","$3.593","Black","10 ns","32","$114.99"
"Corsair Dominator Platinum RGB 32 GB","(5)","DDR5-6200","2 x 16GB","$4.687","Black","11.613 ns","36","$149.99"
"Corsair Vengeance RGB Pro 16 GB","(76)","DDR4-3600","2 x 8GB","$3.437","Black","10 ns","18","$54.99"
"Kingston FURY Beast 16 GB","(2)","DDR5-6000","2 x 8GB","$4.777","Black","13.333 ns","40","$76.44"
"G.Skill Trident Z Neo 32 GB","(160)","DDR4-3600","2 x 16GB","$3.125","Black / Silver","8.889 ns","16","$99.99"
"Corsair Vengeance RGB 192 GB","(0)","DDR5-5200","4 x 48GB","$3.750","Black","14.615 ns","38","$719.99"
"Silicon Power SP016GBLFU320B22 16 GB","(3)","DDR4-3200","2 x 8GB","$1.874","13.75 ns","22","","$29.99"
"G.Skill Trident Z5 RGB 48 GB","(1)","DDR5-8000","2 x 24GB","$5.833","Black","10 ns","40","$279.99"
"Corsair Vengeance RGB 32 GB","(10)","DDR5-5200","2 x 16GB","$3.125","Black","15.385 ns","40","$99.99"
"G.Skill Ripjaws S5 32 GB","(3)","DDR5-6000","2 x 16GB","$3.281","White","10 ns","30","$104.99"
"Corsair Vengeance LPX 16 GB","(23)","DDR4-3200","2 x 8GB","$2.812","Black","10 ns","16","$44.99"
"Kingston HyperX Fury 16 GB","(35)","DDR4-3200","2 x 8GB","Black / Silver","10 ns","16","",""
"Patriot Viper Venom 16 GB","(1)","DDR5-5200","2 x 8GB","$3.687","Black / White","13.846 ns","36","$58.99"
"Kingston FURY 128 GB","(0)","DDR5-5600","4 x 32GB","$3.594","White","14.286 ns","40","$459.99"
"Corsair Vengeance 96 GB","(2)","DDR5-6400","2 x 48GB","$3.542","Black","10 ns","32","$339.99"
"Corsair Vengeance RGB Pro 32 GB","(5)","DDR4-3200","2 x 16GB","$2.812","White","10 ns","16","$89.99"
"G.Skill Ripjaws S5 64 GB","(2)","DDR5-5600","2 x 32GB","$2.812","Black","10 ns","28","$179.99"
"Corsair Vengeance RGB 32 GB","(5)","DDR5-6400","2 x 16GB","$3.906","Black / Gray","10 ns","32","$124.99"
"Kingston ValueRAM 1 GB","(0)","DDR2-667","1 x 1GB","$10.000","Green","14.993 ns","5","$10.00"
"Kingston ValueRAM 4 GB","(0)","DDR4-3200","1 x 4GB","$7.495","Green","13.75 ns","22","$29.98"
"G.Skill Aegis 16 GB","(30)","DDR4-3200","2 x 8GB","$2.687","Red / Black","10 ns","16","$42.99"
"Corsair Vengeance 64 GB","(1)","DDR5-6000","2 x 32GB","$3.203","Black / Gray","10 ns","30","$204.99"
