"td__image--lg src","td__nameWrapper","td__rating","td__spec","td__spec 2","td__spec 3","td__spec 4","td__spec 5","td__price"
"https://cdna.pcpartpicker.com/static/forever/images/product/cbc52effd345bd5e9d66b5f7d198f8b4.256p.jpg","MSI B550 GAMING GEN3","(2)","AM4","ATX","128 GB","4","Black","$99.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/322a6059c413dd736536e5ad5c3a2285.256p.jpg","Gigabyte B650 AORUS ELITE AX","(51)","AM5","ATX","192 GB","4","Black / Silver","$181.56"
"https://cdna.pcpartpicker.com/static/forever/images/product/ba20600286bf8f74ce71df37ed8aef65.256p.jpg","Gigabyte Z790 AORUS ELITE AX","(16)","LGA1700","ATX","192 GB","4","Black","$239.99"
"https://m.media-amazon.com/images/I/51W9XJLDRlL.jpg","Asus ROG STRIX B650-A GAMING WIFI","(12)","AM5","ATX","192 GB","4","Black / Silver","$199.99"
"https://m.media-amazon.com/images/I/417jkaDUMWL.jpg","Asus ROG STRIX B550-F GAMING WIFI II","(15)","AM4","ATX","128 GB","4","Black / Red","$139.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/4776555bd90ed817bdfa00fc78ae3043.256p.jpg","MSI MAG Z790 TOMAHAWK WIFI","(21)","LGA1700","ATX","192 GB","4","Black","$204.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/d7893755609db1feb833c99ad9d243bf.256p.jpg","ASRock B650M Pro RS WiFi","(7)","AM5","Micro ATX","192 GB","4","Black / Silver","$124.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/dc9235e0d8052745493eb900bb9df6f6.256p.jpg","MSI MAG B650 TOMAHAWK WIFI","(29)","AM5","ATX","192 GB","4","Black","$194.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/28e8ce6b41464b892862574420f45b63.256p.jpg","MSI PRO B760-P WIFI DDR4","(3)","LGA1700","ATX","128 GB","4","Black","$159.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/40037fa5f1c2c2b92273f1a5547ed181.256p.jpg","Gigabyte B650 GAMING X AX","(9)","AM5","ATX","192 GB","4","Black / Gray","$159.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/ca980d24c4cc99996e802092f9590bcf.256p.jpg","MSI B650 GAMING PLUS WIFI","(2)","AM5","ATX","192 GB","4","Black","$169.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/3ba98d49243674bac25ebc39e6cc1fbc.256p.jpg","MSI PRO B550M-VC WIFI","(28)","AM4","Micro ATX","128 GB","4","Black","$112.01"
"https://cdna.pcpartpicker.com/static/forever/images/product/f22d681ccfd01238e756443a474f400b.256p.jpg","MSI B760 GAMING PLUS WIFI","(2)","LGA1700","ATX","192 GB","4","Black / Silver",""
"https://cdna.pcpartpicker.com/static/forever/images/product/5602839ae99179798119982f3d94a277.256p.jpg","ASRock B660M Pro RS","(4)","LGA1700","Micro ATX","128 GB","4","Gray / Black","$89.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/9f282b8b21d7c5b1fae9b0474ed77164.256p.jpg","MSI B450M PRO-VDH MAX","(38)","AM4","Micro ATX","64 GB","4","Black / Silver","$69.98"
"https://cdna.pcpartpicker.com/static/forever/images/product/ff4b4e2c7f72b014f39f1864b19e7250.256p.jpg","Asus PRIME B550M-A WIFI II","(8)","AM4","Micro ATX","128 GB","4","Blue / Silver","$99.99"
"https://m.media-amazon.com/images/I/51G+lOc7dEL.jpg","Asus TUF GAMING B550-PLUS WIFI II","(18)","AM4","ATX","128 GB","4","Black / Gray","$149.99"
