"Name","td__rating","td__spec","td__spec 2","td__spec 3","td__spec 4","td__spec 5","td__price"
"Corsair RM750e (2023)","(26)","ATX","80+ Gold","750 W","Full","Black","$96.99"
"Corsair RM850x (2021)","(152)","ATX","80+ Gold","850 W","Full","Black","$129.99"
"Corsair RM850e (2023)","(19)","ATX","80+ Gold","850 W","Full","Black","$114.99"
"Corsair RM1000e (2023)","(11)","ATX","80+ Gold","1000 W","Full","Black","$154.99"
"Corsair CX650M (2021)","(6)","ATX","80+ Bronze","650 W","Semi","Black","$64.98"
"Corsair RM1000x (2021)","(96)","ATX","80+ Gold","1000 W","Full","Black","$169.97"
"Thermaltake Toughpower GX2","(18)","ATX","80+ Gold","600 W","No","Black","$59.99"
"Thermaltake Smart","(60)","ATX","80+","500 W","No","","$34.99"
"Corsair SF750","(209)","SFX","80+ Platinum","750 W","Full","","$168.99"
"Gigabyte UD750GM","(15)","ATX","80+ Gold","750 W","Full","Black","$89.99"
"Corsair RM850","(44)","ATX","80+ Gold","850 W","Full","White / Black","$109.99"
"Cooler Master MWE Gold 850 - V2","(7)","ATX","80+ Gold","850 W","Full","Black","$95.99"
"Thermaltake Smart","(34)","ATX","80+","600 W","No","","$39.99"
"Corsair CX750M (2021)","(16)","ATX","80+ Bronze","750 W","Semi","Black","$74.99"
"Corsair HX1200 Platinum","(41)","ATX","80+ Platinum","1200 W","Full","","$380.00"
"Corsair CV650","(20)","ATX","80+ Bronze","650 W","No","Black",""
"Corsair RM750x (2021)","(58)","ATX","80+ Gold","750 W","Full","Black","$104.99"
"MSI MAG A650BN","(0)","ATX","80+ Bronze","650 W","No","Black","$67.98"
"SeaSonic FOCUS GX","(33)","ATX","80+ Gold","750 W","Full","Black","$94.99"
"EVGA SuperNOVA 1000 GT","(12)","ATX","80+ Gold","1000 W","Full","Black","$129.99"
"Asus ROG THOR 1600T Gaming","(0)","ATX","80+ Titanium","1600 W","Full","Silver / Black","$631.99"
"SeaSonic FOCUS Plus 650 Gold","(72)","ATX","80+ Gold","650 W","Full","","$128.99"
"MSI MAG A550BN","(2)","ATX","80+ Bronze","550 W","No","Black",""
"MSI MPG A650GF","(26)","ATX","80+ Gold","650 W","Full","Black","$104.00"
"Apevia Prestige","(1)","ATX","80+ Gold","600 W","No","Black","$51.99"
"MSI MAG A750GL PCIE5","(1)","ATX","80+ Gold","750 W","Full","Black","$109.99"
"Cooler Master V850 SFX GOLD","(31)","SFX","80+ Gold","850 W","Full","Black","$139.99"
"Silverstone HELA","(0)","ATX","2050 W","Full","Black / White","",""
"MSI A1000G PCIE5","(21)","ATX","80+ Gold","1000 W","Full","Black","$144.99"
"Corsair AX1600i","(13)","ATX","80+ Titanium","1600 W","Full","","$609.99"
"Corsair RM750","(24)","ATX","80+ Gold","750 W","Full","White / Black","$99.99"
