"Name","td__rating","td__spec","td__spec 2","td__spec 3","td__spec 4","td__spec 5","td__spec 6","td__price"
"Samsung 980 Pro","(196)","2 TB","$0.060","SSD","2048 MB","M.2-2280","M.2 PCIe 4.0 X4","$119.99"
"Samsung 970 Evo Plus","(435)","1 TB","$0.089","SSD","1024 MB","M.2-2280","M.2 PCIe 3.0 X4","$88.93"
"Samsung 990 Pro","(31)","2 TB","$0.060","SSD","2048 MB","M.2-2280","M.2 PCIe 4.0 X4","$119.00"
"Samsung 980 Pro","(264)","1 TB","$0.079","SSD","1024 MB","M.2-2280","M.2 PCIe 4.0 X4","$78.86"
"Kingston NV2","(42)","1 TB","$0.053","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$52.82"
"Crucial P3","(26)","1 TB","$0.054","SSD","M.2-2280","M.2 PCIe 3.0 X4","","$53.99"
"Seagate Barracuda Compute","(715)","2 TB","$0.029","7200 RPM","256 MB","3.5""","SATA 6.0 Gb/s","$57.99"
"Crucial P5 Plus","(41)","2 TB","$0.072","SSD","2048 MB","M.2-2280","M.2 PCIe 4.0 X4","$144.75"
"Samsung 970 Evo Plus","(163)","2 TB","$0.057","SSD","1024 MB","M.2-2280","M.2 PCIe 3.0 X4","$114.01"
"Samsung 990 Pro","(0)","4 TB","$0.062","SSD","4096 MB","M.2-2280","M.2 PCIe 4.0 X4","$249.99"
"Crucial P3 Plus","(22)","1 TB","$0.055","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$54.99"
"Crucial P5 Plus","(37)","1 TB","$0.091","SSD","1024 MB","M.2-2280","M.2 PCIe 4.0 X4","$91.31"
"Mushkin Source HC","(0)","16 TB","$0.123","SSD","2.5""","SATA 6.0 Gb/s","","$1975.51"
"Western Digital Black SN850X","(69)","2 TB","$0.057","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$114.99"
"Samsung 970 Evo Plus","(223)","500 GB","$0.100","SSD","512 MB","M.2-2280","M.2 PCIe 3.0 X4","$49.99"
"Samsung 870 Evo","(53)","1 TB","$0.060","SSD","1024 MB","2.5""","SATA 6.0 Gb/s","$59.99"
"Crucial P3 Plus","(15)","2 TB","$0.049","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$98.99"
"Samsung 990 Pro","(14)","1 TB","$0.080","SSD","1024 MB","M.2-2280","M.2 PCIe 4.0 X4","$79.98"
"Western Digital Black SN850X","(26)","4 TB","$0.057","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$229.99"
"Seagate BarraCuda","(68)","4 TB","$0.019","5400 RPM","256 MB","3.5""","SATA 6.0 Gb/s","$74.99"
"Western Digital Black SN770","(68)","1 TB","$0.070","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$69.98"
"Crucial P3","(7)","500 GB","$0.060","SSD","M.2-2280","M.2 PCIe 3.0 X4","","$29.99"
"Western Digital Blue SN570","(47)","1 TB","$0.060","SSD","M.2-2280","M.2 PCIe 3.0 X4","","$60.27"
"Crucial P3","(10)","2 TB","$0.047","SSD","M.2-2280","M.2 PCIe 3.0 X4","","$94.59"
"Western Digital Black SN770","(41)","2 TB","$0.050","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$99.99"
"Samsung 870 Evo","(8)","4 TB","$0.057","SSD","4096 MB","2.5""","SATA 6.0 Gb/s","$228.92"
"Sabrent Rocket 4 Plus","(1)","8 TB","$0.125","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$999.99"
"Crucial T700","(1)","4 TB","$0.100","SSD","M.2-2280","M.2 PCIe 5.0 X4","","$399.72"
"TEAMGROUP MP33","(41)","1 TB","$0.046","SSD","M.2-2280","M.2 PCIe 3.0 X4","","$45.99"
"Samsung 870 Evo","(25)","2 TB","$0.060","SSD","2048 MB","2.5""","SATA 6.0 Gb/s","$120.08"
"Western Digital Black SN850X","(39)","1 TB","$0.080","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$79.98"
"Samsung 870 QVO","(3)","8 TB","$0.042","SSD","2.5""","SATA 6.0 Gb/s","","$332.29"
"Western Digital Caviar Blue","(2383)","1 TB","$0.045","7200 RPM","64 MB","3.5""","SATA 6.0 Gb/s","$44.99"
"Kingston KC3000","(16)","2.048 TB","$0.060","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$123.49"
"Samsung 980","(86)","1 TB","$0.065","SSD","M.2-2280","M.2 PCIe 3.0 X4","","$64.99"
"Kingston NV2","(16)","2 TB","$0.050","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$99.99"
"Seagate BarraCuda","(238)","1 TB","$0.043","7200 RPM","64 MB","3.5""","SATA 6.0 Gb/s","$42.98"
"Crucial MX500","(136)","1 TB","$0.060","SSD","1024 MB","2.5""","SATA 6.0 Gb/s","$59.99"
"Crucial P3 Plus","(5)","4 TB","$0.045","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$179.99"
"Western Digital Gold","(0)","22 TB","$0.025","7200 RPM","512 MB","3.5""","SATA 6.0 Gb/s","$549.99"
