"Name","td__rating","td__spec","td__spec 2","td__spec 3","td__spec 4","td__spec 5","td__spec 6","td__price"
"MSI GeForce RTX 3060 Ventus 2X 12G","(24)","GeForce RTX 3060 12GB","12 GB","1320 MHz","1777 MHz","Black","235 mm","$279.99"
"Gigabyte WINDFORCE OC","(9)","GeForce RTX 4070","12 GB","1920 MHz","2490 MHz","Black","261 mm","$549.99"
"Gigabyte GAMING OC","(1)","Radeon RX 7800 XT","16 GB","1295 MHz","2565 MHz","Black","302 mm","$499.99"
"ASRock Radeon RX6700XT CLD 12G","(13)","Radeon RX 6700 XT","12 GB","2321 MHz","2581 MHz","Black","269 mm","$299.99"
"Asus ROG STRIX GAMING OC","(4)","GeForce RTX 4090","24 GB","2235 MHz","2640 MHz","Black","358 mm","$1999.99"
"Asus TUF GAMING OC","(14)","GeForce RTX 4070 Ti","12 GB","2310 MHz","2760 MHz","Black","305 mm","$829.99"
"PNY VCNRTX6000ADA-PB","(0)","RTX 6000 Ada Generation","48 GB","915 MHz","2505 MHz","Black / Gold","267 mm","$9999.00"
"Gigabyte EAGLE","(1)","GeForce RTX 4060 Ti","8 GB","2310 MHz","Black","272 mm","","$399.99"
"ASRock Challenger D","(13)","Radeon RX 6600","8 GB","1626 MHz","Black","269 mm","","$184.99"
"Sapphire PULSE","(8)","Radeon RX 6700 XT","12 GB","2321 MHz","2581 MHz","Black","260 mm","$309.99"
"Zotac GAMING AMP","(5)","GeForce RTX 3060 12GB","12 GB","1320 MHz","1867 MHz","White","232 mm",""
"MSI VENTUS 2X BLACK OC","(0)","GeForce RTX 4060","8 GB","1830 MHz","2505 MHz","Black","199 mm","$299.00"
"NVIDIA Founders Edition","(23)","GeForce RTX 4090","24 GB","2230 MHz","2520 MHz","Black / Silver","304 mm","$2699.97"
"XFX Speedster MERC 310 Black Edition","(24)","Radeon RX 7900 XTX","24 GB","2300 MHz","2615 MHz","Black / Silver","344 mm","$939.99"
"XFX Speedster SWFT 319","(3)","Radeon RX 6800","16 GB","1700 MHz","2105 MHz","Black","340 mm","$369.99"
"Sapphire PULSE","(7)","Radeon RX 7800 XT","16 GB","1295 MHz","Black / Red","280 mm","","$499.99"
"Asus DUAL OC","(1)","GeForce RTX 4060","8 GB","1830 MHz","2535 MHz","Black","227 mm","$299.00"
"Gigabyte GAMING OC","(24)","GeForce RTX 4090","24 GB","2235 MHz","Black","340 mm","","$1924.98"
"Asus DUAL OC","(8)","GeForce RTX 4070","12 GB","2520 MHz","2550 MHz","White","267 mm","$589.00"
"Asus DUAL OC","(6)","GeForce RTX 3060 Ti","8 GB","1410 MHz","1710 MHz","White","230 mm","$299.99"
"XFX GTR XXX","(30)","Radeon RX 580","8 GB","1366 MHz","1386 MHz","Black / Red","270 mm","$109.99"
